R,G,B,,Class
236,224,195,,0
238,224,196,,1
240,225,198,,1
231,217,194,,0
233,220,194,,0
231,218,190,,0
230,218,186,,0
232,217,182,,0
218,199,166,,0
196,172,141,,0
162,133,104,,0
122,89,64,,0
85,49,32,,0
80,46,29,,0
131,105,101,,0
150,126,120,,0
196,175,166,,0
227,210,197,,0
236,223,207,,1
231,222,204,,0
228,222,199,,0
234,224,194,,0
235,222,189,,0
233,220,188,,0
232,218,188,,0
230,216,188,,0
233,219,192,,0
235,221,195,,0
236,221,198,,0
237,222,199,,0
237,225,201,,1
237,225,201,,1
238,226,203,,1
238,226,204,,1
238,227,205,,1
236,228,207,,1
237,229,210,,1
236,229,210,,1
237,230,211,,1
238,229,212,,1
239,230,213,,1
239,230,213,,1
239,232,214,,1
239,232,214,,1
239,234,215,,1
239,234,215,,1
238,235,216,,1
239,236,217,,1
238,236,218,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,234,218,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
235,232,215,,1
235,232,215,,1
236,233,216,,1
237,234,217,,1
237,232,215,,1
237,230,212,,1
238,231,213,,1
238,231,213,,1
238,233,214,,1
238,233,214,,1
239,232,214,,1
240,233,215,,1
241,234,216,,1
240,233,215,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
238,233,213,,1
237,232,212,,1
238,231,212,,1
239,232,213,,1
240,233,214,,1
239,233,214,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
235,234,217,,1
235,232,213,,1
235,230,211,,1
236,229,207,,1
234,226,201,,1
234,223,197,,0
237,224,197,,1
239,225,196,,1
237,223,195,,0
235,224,196,,0
234,223,195,,0
234,221,194,,0
235,221,192,,0
241,226,196,,1
231,216,185,,0
221,206,174,,0
194,178,146,,0
162,141,112,,0
139,103,84,,0
90,55,35,,0
158,126,105,,0
141,112,109,,0
172,145,140,,0
220,198,187,,0
246,229,215,,1
239,228,210,,1
235,227,208,,1
230,223,201,,0
233,222,195,,0
237,224,192,,0
232,218,188,,0
227,213,185,,0
231,217,190,,0
235,221,194,,0
236,222,196,,0
237,222,199,,0
238,223,200,,1
239,226,203,,1
239,227,203,,1
239,227,204,,1
240,228,206,,1
240,229,207,,1
237,229,208,,1
237,229,210,,1
237,230,211,,1
238,231,212,,1
239,230,213,,1
239,230,213,,1
240,231,214,,1
239,232,214,,1
240,233,215,,1
239,234,215,,1
239,234,215,,1
238,235,216,,1
239,236,217,,1
238,236,218,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
238,235,219,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
238,235,218,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,233,215,,1
237,230,212,,1
238,231,213,,1
239,232,214,,1
238,233,214,,1
239,234,215,,1
240,233,215,,1
240,233,215,,1
240,233,215,,1
240,233,214,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
238,233,213,,1
237,232,212,,1
238,231,212,,1
239,232,213,,1
240,233,214,,1
238,234,214,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,235,220,,1
237,234,217,,1
238,232,215,,1
238,231,212,,1
237,229,208,,1
236,225,203,,1
236,224,200,,1
236,222,196,,0
234,220,194,,0
235,223,197,,0
237,226,198,,1
237,226,198,,1
237,223,194,,0
236,222,193,,0
236,221,191,,0
239,223,193,,1
226,209,179,,0
205,184,155,,0
186,155,134,,0
121,90,68,,0
200,170,146,,0
184,158,133,,0
163,129,127,,0
191,162,156,,0
247,225,214,,1
237,221,206,,0
228,219,200,,0
238,232,210,,1
231,226,203,,1
234,222,196,,0
235,221,192,,0
231,217,190,,0
230,216,189,,0
234,220,193,,0
236,222,196,,0
237,223,197,,0
239,224,201,,1
240,225,202,,1
239,227,203,,1
239,227,203,,1
240,228,205,,1
241,229,207,,1
240,229,207,,1
238,230,209,,1
238,230,211,,1
238,231,212,,1
238,231,212,,1
240,231,214,,1
240,231,214,,1
240,231,214,,1
240,233,215,,1
241,234,216,,1
239,234,215,,1
239,234,215,,1
238,235,216,,1
239,236,217,,1
238,236,218,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
238,235,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
238,235,218,,1
238,235,218,,1
237,234,217,,1
237,234,217,,1
238,234,216,,1
240,233,215,,1
241,234,216,,1
242,235,217,,1
241,236,217,,1
240,235,216,,1
240,233,215,,1
240,233,215,,1
240,233,215,,1
239,232,214,,1
239,232,213,,1
239,232,213,,1
239,232,213,,1
238,233,213,,1
237,232,212,,1
238,231,212,,1
239,232,213,,1
240,233,214,,1
238,234,214,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
236,233,216,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,217,,1
237,234,219,,1
237,235,222,,1
238,235,220,,1
239,233,219,,1
240,233,216,,1
239,232,214,,1
237,228,209,,1
237,226,205,,1
236,223,203,,1
232,220,197,,0
233,223,196,,0
234,224,197,,0
236,225,197,,1
235,224,196,,0
236,223,194,,0
236,222,191,,0
237,222,191,,0
236,221,190,,0
231,214,184,,0
208,184,158,,0
155,130,102,,0
142,117,89,,0
191,165,138,,0
178,145,141,,0
235,209,200,,0
243,223,210,,1
228,214,198,,0
231,222,202,,0
235,229,207,,1
231,225,201,,0
235,225,199,,1
230,218,192,,0
229,217,191,,0
233,221,195,,0
233,221,195,,0
235,223,197,,0
236,224,198,,1
237,225,201,,1
239,227,203,,1
239,227,203,,1
239,227,203,,1
239,227,204,,1
240,228,206,,1
239,228,206,,1
238,230,209,,1
238,230,211,,1
238,231,212,,1
239,232,213,,1
240,231,214,,1
240,231,214,,1
241,232,215,,1
241,234,216,,1
241,234,216,,1
239,234,215,,1
239,234,215,,1
238,235,216,,1
239,236,217,,1
238,236,218,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
237,235,220,,1
238,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
239,236,219,,1
